,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,2.0,34.99065311061788,5.9149981163659096,0.828528683102616,0.3124868392944336,59.56101998600889,7.674878686621744,0.7079446934019792,0.3124868392944336,unharmonized,Stratified
Ridge Regression,2.0,41.34958270982751,6.430175586718354,0.7973643889076765,0.4377155303955078,51.79009977814262,7.19404155539651,0.7456247768048729,0.4377155303955078,unharmonized,Stratified
Linear Regression,2.0,34.99603199950088,5.915694513942867,0.8284337537754374,0.37274947166442873,55.23463311238466,7.421714530563233,0.7277927219865927,0.37274947166442873,unharmonized,Random
Ridge Regression,2.0,41.273746263134655,6.424284384372027,0.7976796698171388,0.39470629692077636,52.487957680380234,7.241588091387973,0.7411116730490643,0.39470629692077636,unharmonized,Random
Linear Regression,2.0,33.48463085138982,5.786386760943243,0.8359121518182736,0.3032994270324707,47.61192165852252,6.895497170368733,0.7664150879480317,0.3032994270324707,combat,Stratified
Ridge Regression,2.0,42.68035388433755,6.532799201810991,0.7908418859637112,0.3786627292633057,53.1829805193197,7.288406187363217,0.7388762180208668,0.3786627292633057,combat,Stratified
Linear Regression,2.0,33.4911247888315,5.786936349930684,0.8358578237193658,0.3518982410430908,47.5069120232662,6.889181760028849,0.766262518286698,0.3518982410430908,combat,Random
Ridge Regression,2.0,42.68428535567952,6.533131186481103,0.7907720250891084,0.38246378898620603,53.143093699143925,7.285802593159536,0.7381111515661395,0.38246378898620603,combat,Random
Linear Regression,2.0,33.05833645176786,5.749474461850738,0.8379975271195319,0.32833423614501955,46.969684886535376,6.84989261473419,0.769440992798912,0.32833423614501955,covbat,Stratified
Ridge Regression,2.0,42.261613660504246,6.500711681906553,0.7928877802664712,0.44224891662597654,52.555819158331154,7.246059863220188,0.7418097978531973,0.44224891662597654,covbat,Stratified
Linear Regression,2.0,33.06235386097652,5.749806079541907,0.8379539016643822,0.3631450653076172,46.917638324880855,6.84666810037132,0.7691097314649556,0.3631450653076172,covbat,Random
Ridge Regression,2.0,42.253859138479115,6.5001009366621485,0.7928790466627891,0.4638920783996582,52.65846709878491,7.2524454235857245,0.740508755520523,0.4638920783996582,covbat,Random
